,years_of_exp,degree,fields,skills,languages
0,15,None,"hospitality, customer service, human resources, marketing, medical billing
* skills: accounting, advertising, analytical skills, benefits, billing, budgeting, clients, customer service, data analysis, delivery, documentation, employee relations, financial management, government relations, human resources, insurance, labor relations, layout, marketing, medical billing, medical terminology, office, organizational, payroll, performance reviews, personnel, policies, posters, presentations, public relations, purchasing, reporting, statistics, website","accounting, advertising, analytical skills, benefits, billing, budgeting, clients, customer service, data analysis, delivery, documentation, employee relations, financial management, government relations, human resources, insurance, labor relations, layout, marketing, medical billing, medical terminology, office, organizational, payroll, performance reviews, personnel, policies, posters, presentations, public relations, purchasing, reporting, statistics, website",n/a
1,7,Masters,"hr, marketing, communications, technology, it, finance
* skills: adobe photoshop, adp, asset management, branding, brochures, content, customer care, final cut pro, graphics, graphic, hr, illustrator, indesign, innovation, inventory, lotus notes, marketing, marketing materials, marketing material, materials, microsoft office, sharepoint, newsletter, presentations, process improvement, project management, promotional materials, publications, quality, real-time, recruitment, reporting, rfp, sales, stories, employee development, video, web design, website, articles","adobe photoshop, adp, asset management, branding, brochures, content, customer care, final cut pro, graphics, graphic, hr, illustrator, indesign, innovation, inventory, lotus notes, marketing, marketing materials, marketing material, materials, microsoft office, sharepoint, newsletter, presentations, process improvement, project management, promotional materials, publications, quality, real-time, recruitment, reporting, rfp, sales, stories, employee development, video, web design, website, articles",not specified
2,20,Masters,"human resources, recruiting, hris development, benefit administration, policy development, web page development
* skills: recruiting, fmla/eeo/flsa, hris development, benefit administration, policy development, web page development, desktop publishing, newsletter productions, database management, leadership, osha, fmla, workers compensation, pagemaker, agency automation, back-up, benefits, budget management, corel suite, harvard graphics, access, excel, microsoft publisher, ms word, quark express, quattro pro, strategic planning, web page development, wordperfect","recruiting, fmla/eeo/flsa, hris development, benefit administration, policy development, web page development, desktop publishing, newsletter productions, database management, leadership, osha, fmla, workers compensation, pagemaker, agency automation, back-up, benefits, budget management, corel suite, harvard graphics, access, excel, microsoft publisher, ms word, quark express, quattro pro, strategic planning, web page development, wordperfect",not specified
3,20,None,"hr, customer service, call center
* skills: 10-key by touch, type 50 wpm, filing, access, microsoft excel, microsoft outlook, microsoft powerpoint, microsoft word","10-key by touch, type 50 wpm, filing, access, microsoft excel, microsoft outlook, microsoft powerpoint, microsoft word",not mentioned
4,20,Bachelors,"hr, human resources, recruitment, employee relations, benefits administration, payroll, performance management, organizational development, hris, mediation, coaching, leadership development
* skills: ada, adp, ms office, kronos, lawson, paychex, hris, mediation, coaching, conflict resolution, continuous improvement, leadership, leadership development, negotiating, organizational development, payroll, performance management, recruitment, reporting, staff development, staffing, strategy, structured, surveys, teamwork, visio","ada, adp, ms office, kronos, lawson, paychex, hris, mediation, coaching, conflict resolution, continuous improvement, leadership, leadership development, negotiating, organizational development, payroll, performance management, recruitment, reporting, staff development, staffing, strategy, structured, surveys, teamwork, visio",not specified
5,14,Bachelors,"hr generalist, coordinator, international student advisor, secretary, paralegal
* skills: administrative, excel, exchange, human resource management, hr, microsoft office, office, outlook, powerpoint, word, newsletter, paralegal, performance management, processes, publications, recruitment, strategic planning, supervisor, training programs, travel arrangements, visio, website, workshops, annual reports","administrative, excel, exchange, human resource management, hr, microsoft office, office, outlook, powerpoint, word, newsletter, paralegal, performance management, processes, publications, recruitment, strategic planning, supervisor, training programs, travel arrangements, visio, website, workshops, annual reports",not specified
6,14,Bachelors,"human resources, training, education, restaurant management
* skills: ada, administrative skills, coaching, employee relations, english, hiring, hris, human resources, indesign, leadership development, mediation, microsoft office suites, newsletters, organizational development, peoplesoft, performance management, policies, project management, quality, quark, safety, scheduling, spanish, supervision, teacher, training material, web design, workshops","ada, administrative skills, coaching, employee relations, english, hiring, hris, human resources, indesign, leadership development, mediation, microsoft office suites, newsletters, organizational development, peoplesoft, performance management, policies, project management, quality, quark, safety, scheduling, spanish, supervision, teacher, training material, web design, workshops","english, spanish"
7,13,Masters,"human resources, benefits administration, payroll processing, employee relations, recruitment, training, and development
* skills: administrative, adp, backup, benefits, bookkeeping, clarify, competitive, customer service, database, delivery, documentation, employee relations, filing, government, hr, human resources, insurance, job analysis, labor relations, law enforcement, team building, letters, market, meetings, mail, office, payroll processing, payroll, personnel, policies, processes, project management, proposal, quality, recruiting, recruitment, safety, strategy, employee handbooks, vendor management, vision, year-end","administrative, adp, backup, benefits, bookkeeping, clarify, competitive, customer service, database, delivery, documentation, employee relations, filing, government, hr, human resources, insurance, job analysis, labor relations, law enforcement, team building, letters, market, meetings, mail, office, payroll processing, payroll, personnel, policies, processes, project management, proposal, quality, recruiting, recruitment, safety, strategy, employee handbooks, vendor management, vision, year-end",not specified
8,15,Bachelors,"hr, recruitment, training and development, compensation, classification
* skills: management consultation, negotiation, outlook, e-recruitment, hr policies/procedures, provision of excellent customer service, micro-soft applications: word, excel, powerpoint, problem-solve, change agent, budget revisions, job analyses, compensation/job market analysis, leadership training, performance management, personnel policies and procedures, full-cycle recruitment","management consultation, negotiation, outlook, e-recruitment, hr policies/procedures, provision of excellent customer service, micro-soft applications: word, excel, powerpoint, problem-solve, change agent, budget revisions, job analyses, compensation/job market analysis, leadership training, performance management, personnel policies and procedures, full-cycle recruitment",not mentioned
9,38,Bachelors,"hr, administrative, bookkeeping, clerical, continuous improvement, safety
* skills: accounts payable, administrative, administrative support, a/p, benefits, benefits administration, bookkeeping, clerical, continuous improvement, databases, employee relations, financial, functional, general ledger, human resource, human resources, hr, interpretation, invoicing, legal, employee management, meetings, mrp, payroll, purchasing, receiving, recruitment, reporting, research, safety, scheduling, secretarial, staffing, supervision","accounts payable, administrative, administrative support, a/p, benefits, benefits administration, bookkeeping, clerical, continuous improvement, databases, employee relations, financial, functional, general ledger, human resource, human resources, hr, interpretation, invoicing, legal, employee management, meetings, mrp, payroll, purchasing, receiving, recruitment, reporting, research, safety, scheduling, secretarial, staffing, supervision",not mentioned
